[hold_object_reward, 1, grasp_reward, 0.2, rotation_reward, 0.3, open_reward, 0.4, stability_reward, 1, 0.1177]
[hold_object_reward, 1, grasp_reward, 0.2, rotation_reward, 0.3, open_reward, 1, stability_reward, 0.1, 0.125]
[hold_object_reward, 1, grasp_reward, 0.2, rotation_reward, 0.3, open_reward, 1, stability_reward, 1, 0.1812]
[hold_object_reward, 1, grasp_reward, 0.2, rotation_reward, 1, open_reward, 0.4, stability_reward, 0.1, 0.2715]1_12
[hold_object_reward, 1, grasp_reward, 0.2, rotation_reward, 1, open_reward, 0.4, stability_reward, 1, 0.0562]
[hold_object_reward, 1, grasp_reward, 0.2, rotation_reward, 1, open_reward, 1, stability_reward, 0.1, 0.0244]
[hold_object_reward, 1, grasp_reward, 0.2, rotation_reward, 1, open_reward, 1, stability_reward, 1, 0.0713]

[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 0.3, open_reward, 0.4, stability_reward, 0.1, 0.5718]1_12
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 0.3, open_reward, 0.4, stability_reward, 1, 0.5205]
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 0.3, open_reward, 1, stability_reward, 0.1, 0.2148]
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 0.3, open_reward, 1, stability_reward, 1, 0.0947]
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 1, open_reward, 0.4, stability_reward, 0.1, 0.0425]1_12
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 1, open_reward, 0.4, stability_reward, 1, 0.1958]
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 1, open_reward, 1, stability_reward, 0.1, 0.2344]
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 1, open_reward, 1, stability_reward, 1, 0.043]

[hold_object_reward, 0.2, grasp_reward, 0.2, rotation_reward, 0.3, alignment_reward, 0.2, stability_reward, 0.1, 0.0566]3_8
[hold_object_reward, 0.2, grasp_reward, 0.2, rotation_reward, 0.3, alignment_reward, 0.2, stability_reward, 1, 0.0605]
